Job Nature,Position Level,Job Category,Qualification,Salary,Company,Title,Description
Permanent,"Entry Level, Experienced","

IT-Administration, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours","

        1,800 SGD - 2,000 SGD / Month
      
      
",CareerBuilder Singapore,Junior Web Developer,"[' • \xa0Provide first level of telephone and technical Application support for troubleshooting.  ', ' • \xa0Escalate requests and problems to the appropriate support group for further analysis and resolution.  ', ' • \xa0Perform escalation to appropriate leads on complex issues or issues leading to complaints.  ', ' • \xa0Closely monitor and track cases logged and perform proper follow-up to users on all outstanding issues.  ', ' • \xa0Responsible for closing the cases upon confirmation with users.  ', ' • \xa0Construct database queries to generate data-driven content and reports ', ' • \xa0Any other ad hoc assignments as assigned by superior ', ' • \xa0Develop client-side scripts to improve website usability\n\n ', '', ' Job Specifications  ', '', ' • \xa0Diploma in Computer Science, IT or similar fields.  ', ' • \xa0Internet-savvy with knowledge of HTML, CSS , PHP and SQL.  ', ' • \xa0Highly organized and detail-oriented individual.  ', ' • \xa0Good communication and people skills.  ', ' • \xa0Able to work independently and multi-task.  ', ' • \xa0Meticulous and possess ability to handle users in a professional and timely manner ', ' • \xa0Analytical and has the ability to make recommendations to enhance processes and systems']"
Permanent,Experienced,"

IT-Administration, 
    
IT-Software/Development

",Bachelor's / Honours,0.0,PacificLight Power Pte Ltd,"Executive, System Applications","['Responsibilities:', ' ', 'a)\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 By implementing a new (automated or manual) system, or', 'b)\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 By changing an existing application system', ' ', ' ', 'Requirements:', ' ', '', '', 'Others: ', ' ']"
Permanent,Experienced,"

IT-Hardware, 
    
IT-Administration, 
    
Troubleshoot

","Diploma, Bachelor's / Honours",0.0,ANTlabs Pte Ltd,Systems Engineer,"['Systems Engineer ', 'To join our team, you should:', 'A.\xa0\xa0 Skillset', 'B.\xa0\xa0 Scopes of Work:', 'C.\xa0\xa0 Personality:']"
Permanent,"Entry Level, Student Job","

Business Development

","Bachelor's / Honours, Masters / PhD",0.0,SearchAsia Consulting Pte Ltd,Management Recruitment Consultant,"['SearchAsia Consulting is the leading staffing and\nrecruitment firm in the Pan Asian region, our offices span Hong Kong, Kuala\nLumpur, Taipei and more. As our firm deals with mid-to-senior level positions,\nwe ensure that we provide professional confidentiality for our clients, finding\ncandidates that suit their company’s culture and dynamics in the most efficient\nand accurate way possible. As for our consultants, we offer regimented training\nthat allows you to effectively tackle the challenges of the job. New\nconsultants will be placed under the nurturing mentorship of our experienced\nsenior consultants, who will guide you into the fast-paced world of recruitment\nconsultancy.', '', 'Job Scope:', 'Sourcing, screening and selecting of candidates', 'Liaising with clients to find out their needs', 'Managing candidates expectations', 'Interviewing candidates', 'Cold and warm-calling to expand our database', 'Various forms of business development ', '', 'Job Requirements:', 'Bachelor’s degree in any field', 'Highly- motivated', 'Works well under pressure', 'Works well in a team', 'Initiative-driven', 'Likes interacting with people', '', 'Leadership and career\nadvancement:', 'You will also have the opportunity to work under inspiring\nand nurturing leadership, our capable Team Leaders and managers are motivated\npeople that work hard and produce tangible results. Furthermore, there are\nalways opportunities to show your potential for leadership and career\nadvancement, some of our senior consultants are even offered the opportunity to\ngain regional exposure in our overseas offices! ', '', 'As we are a home-grown firm, we believe in offering career\nadvancement opportunities to deserving consultants that have worked their way\nup the ranks and have shown consistent results with great work dispositions.', '', 'If you enjoy meeting people and building relationships to\nlast a lifetime, this job is for you. Here at SearchAsia, we believe that it is\nthe people that truly make a difference. Be part of a fun, dynamic and friendly\nworkplace that supports and challenges you to always learn and grow. ', '', 'So, what are you waiting for? Apply now to [Click Here to Email Your Resume] and join our dynamic\nteam!']"
Permanent,Experienced,"

IT-Software/Development

",Bachelor's / Honours,0.0,HackerTrail,Database Administrator,[]
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,DATABASE ADMINISTRATION ENGINEER,"['', 'Req. ID: 114129\xa0', 'Responsibilities:', '', '', 'Requirements: ', '', '', 'Location: \xa0F10N - 1 North Coast Drive, Singapore 757432', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || Central Singapore (SG-01) || Singapore (SG) || SGA || Entry || Regular || Information Systems and Technology || Not Applicable ||\n \xa0', '\nJob Segment: \n System Administrator, Database, Electronics Engineer, Manufacturing Engineer, Engineer, Technology, Engineering\n \n \n ']"
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"VP, Database Administrator, GTO",[]
"Permanent, Contract","Experienced, Manager","

Clinical/Medical, 
    
Data Entry, 
    
Medical/Life Science, 
    
Pharmaceutical

","Diploma, Bachelor's / Honours","

        3,000 SGD - 5,000 SGD / Month
      
      
",Recruit Express Pte Ltd,"Contract Database Administrator (Pharma, SAP, up to $5K)","['', 'Main Purpose:', '\xa0', 'The role of Asia Pacific Regional Data Administrator (AP RDA) is to facilitate the creation and maintenance of high quality master data related to all Material, Customer, Vendor and Sales Structure for the Asia Pacific region. By implementing and executing policies and procedures at the regional level, AP RDA plays an important role in protecting a key asset: the master data that enables the company to share information, process transactions and plan and execute business operations globally. \n\n', '', 'The AP RDA team operates under Asia Pacific Finance, but it also works closely with Product Life Cycle (PLC), Procure to Purchase (PTP) and Sales Distribution (SD) Process Owners. ', '', 'Other groups the AP RDA works regularly with: \n\n', '', '\nKey Accountabilities:\xa0 ', '', 'The AP RDA main activities: Data Administration, Data Stewardship, Product Lifecycle Management Facilitation, Process Improvements and Tools Management.\xa0 Out of the four main master data (Material, Vendor, Customer, Sales Structure) you may be responsible for the following tasks and activities.', ' ', ' ', 'Job Specifications:\xa0', '\nInterested candidates please send a copy of your resume to\xa0[Click Here to Email Your Resume]\n\n', 'Email Subject: Database Administrator– Leon\n\n ', '', 'Leon Leong De Cong\nR1551708', 'Recruit Express (Healthcare & Lifesciences Division)\nEA License: 99C4599']"
"Permanent, Contract",Entry Level,0.0,"Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Intern Global Tapeout Operations,"['Project Title\\: Database generation and automation project for tech files. in OPC technology.', '', 'Project description\\: To improve OPC techfiles changes qualification efficiencies, standardization and automation.', '', 'Project Objectives\\: ', '', '', '']"
Permanent,"Experienced, Manager","

Call Centre, 
    
Office Operations

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,inCall Systems Pte Ltd,Reporting Manager,"['Responsibilities:', '', 'Requirements: ', '']"
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Bachelor's / Honours,"

        48,000 SGD - 72,000 SGD / Year
      
      
",SnapHunt Pte Ltd,Data Developer,[]
Permanent,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,Haulio Pte Ltd,BACKEND DEVELOPER,"['Responsibilities:', 'Requirements:', 'Desired skills and experience:']"
Permanent,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,Haulio Pte Ltd,MACHINE LEARNING SOFTWARE ENGINEER,"['Responsibilities:', 'Requirements:\xa0', '', 'Desired skills and experience:']"
0.0,0.0,"

IT-Software/Development

",Bachelor's / Honours,0.0,Panasonic Asia Pacific Pte Ltd,IT Consultant at Panasonic Asia Pacific Pte Ltd,"['•\xa0 Responsible for designing, coding and modifying/updating/fixing web, API , mobile, desktop and database applications from layout to function and according to specifications. \n•\xa0 Create visually appealing applications with clear navigation and great User Experience.\n•\xa0 The goal is to provide a framework for the development of a software or system that will result in high quality IT solution.\n•\xa0 Define all aspects of development from appropriate technology to coding standards\n•\xa0 Oversee progress of development team to ensure consistency with initial design\n•\xa0 Provide technical guidance and coaching to developer(s) \n•\xa0 Maintain and design Database and Application and File Server to Ensure Optimum Performance\n•\xa0 Design Database Table Structures and objects to ensure high quality performance and flexibility to scale\n•\xa0 Ensure Application and Database Level Security is up to standards ensuring minimal performance hit.\n•\xa0 Create relevant documents and presentations with regards to System Design, Development, and final Product.', 'Job Requirements', 'Minimum 5 years of experience in mobile development using Visual Studio, Android Studio, MS Xamarin, IOS\nGeneral knowledge on Microsoft Office suites\nGood understanding of good coding practices especially MVC pattern\nCan work well under pressure and with minimal supervision\nAble to cope and adopt to existing processes, methods and company practices\nAble to do technical documentations.\nPresentation skills when necessary.\nTravelling might be required to support key users on UAT and hardware setup.\nGood team player and communications skills.\nHas successfully published and completed app/software lifecycle']"
"Permanent, Part Time","Entry Level, Experienced","

Account Management, 
    
Business Development, 
    
Customer Service, 
    
Telesales/Telemarketing

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma",0.0,Decobar Pte Ltd,Telemarketer,[]
"Permanent, Project Basis","Entry Level, Student Job","

Call Centre, 
    
Consumer Services, 
    
Telesales/Telemarketing

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC",0.0,eFusion Solutions Pte Ltd,Telemarketer x 5,[]
Permanent,Experienced,"

IT-Administration, 
    
Building/Construction, 
    
IT-Software/Development

","Bachelor's / Honours, Masters / PhD","

        4,000 SGD - 5,000 SGD / Month
      
      
",RoviSys Asia Company Pte Ltd,PI Lead Engineer,"['A PI Lead Engineer will design and code custom software for clients wishing to automate sharing of information between process controls and higher-level systems, or to organize and report information for use in business decision.', '\nDescription of Work:\xa0\n\n', '\nJob Requirements:', '\nQualification:', '\nSoftware Development Knowledge:', '\nSoftware and Platform Knowledge:']"
